topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14
0.000266667349719,0.000266667171324,0.000266667329076,0.169371507869,0.000266667246561,0.000266667211457,0.540119760639,0.258165002764,0.0184759475708,0.0111507946594,0.000266667248386,0.000266667323988,0.000266667132617,0.000266667260755,0.000266667279608
0.168064126226,0.0945932829647,0.000606061549672,0.000606061516174,0.000606061437829,0.000606061303669,0.528036078173,0.00060606179642,0.000606062186204,0.000606062467187,0.000606062499912,0.000606062149207,0.000606061442968,0.202080789121,0.000606061411779
0.000584796124674,0.0733275122412,0.000584796665087,0.000584797204692,0.0505499087141,0.000584796483998,0.000584796605131,0.000584796412802,0.000584796323478,0.869104952733,0.000584796508354,0.000584796297422,0.000584796468203,0.000584796331982,0.000584796529132
0.802917735579,0.000606061455802,0.000606061891019,0.0285314475775,0.000606061391684,0.000606061705851,0.12173077316,0.000606062303612,0.000606062184522,0.000606061768662,0.000606061963554,0.0442732229722,0.000606061566992,0.000606061548759,0.000606061851384
0.00128205411024,0.0012820531268,0.00128205361919,0.0012820544322,0.00128205281392,0.00128205300979,0.00128205454525,0.0910337862567,0.00128205420405,0.00128205363129,0.00128205291309,0.892300449491,0.00128205475437,0.00128205630739,0.0012820537748
0.000124844194386,0.000124844219154,0.000124844361362,0.000124844202109,0.000124844420957,0.000124844238131,0.383557529102,0.112325267558,0.000124844150204,0.158179384904,0.115046124263,0.00012484419887,0.229565080247,0.000124844250928,0.000124844224836
0.000501254319665,0.0409107097358,0.000501254036774,0.000501254692119,0.0775529537864,0.000501254726588,0.00050125439005,0.000501254478637,0.00050125405459,0.000501254079389,0.163012622254,0.000501254333094,0.000501253891732,0.000501254454843,0.712869163066
0.69840694277,0.00170940694442,0.00170940609462,0.00170940378974,0.00170940476706,0.0017094060653,0.27940357007,0.00170940404869,0.00170940398924,0.0017094067901,0.00170940547575,0.00170940483737,0.233324620727,0.00170940744526,0.00170940549474
0.000128949301689,0.000128949384432,0.169317879626,0.000128949320003,0.000128949266067,0.000128949258747,0.000128949343975,0.367450605324,0.00012894933471,0.0324956839631,0.191297433609,0.000128949346722,0.239165665593,0.000128949288641,0.000128949435295
0.000389864271986,0.0129511460295,0.00038986449073,0.000389864420582,0.000389864076184,0.00903660283079,0.000389864278577,0.000389864369611,0.000389864128451,0.971514427221,0.000389864198394,0.000389864062786,0.000389864911709,0.000389864249688,0.000389864362757
0.000589972240354,0.000589971487244,0.000589971591741,0.0536143793688,0.000589971777928,0.000589971347621,0.000589972268435,0.000589972053347,0.00058997182045,0.000589971800724,0.115523098884,0.574939576389,0.000589971297297,0.000589971545112,0.248399009745
0.0024322666565,0.000673401454377,0.000673402066642,0.000673401964918,0.00067340148122,0.000673401535729,0.000673401897951,0.299899882257,0.051013426821,0.000673402415383,0.000673402173683,0.641102797927,0.000673401652625,0.000673401879366,0.000673401647906
0.000775194680141,0.000775194476657,0.989147273904,0.000775195644168,0.000775195144208,0.0007751946991,0.000775194632909,0.000775194729342,0.000775194535415,0.000775194514703,0.000775194538563,0.000775194454679,0.000775194329158,0.0007751951785,0.00077519450514
0.00606061911195,0.00606061468283,0.00606061840688,0.00606062850187,0.00606061388621,0.00606064168331,0.00606063718726,0.00606062082465,0.00606064088715,0.586595209888,0.00606062924386,0.00606061899208,0.334855237121,0.00606063182338,0.00606061778243
0.0111111199429,0.0111111161072,0.844444325559,0.0111111192396,0.0111111152962,0.0111111143787,0.0111111201889,0.0111111384475,0.0111111220331,0.0111111233335,0.011111118187,0.0111111173181,0.0111111161021,0.0111111164136,0.0111111174451
0.0122904051669,0.0162584996411,0.102241147426,0.000100100369281,0.000100100540651,0.000100100357034,0.135840744155,0.33939189514,0.000100100342706,0.0717013250911,0.151915893919,0.152435791983,0.0171432238944,0.000100100376714,0.000100100415499
0.00144927920167,0.00144928023631,0.0014492787622,0.00144927834909,0.00144927859126,0.00144928012931,0.00823667816029,0.273454562354,0.00144927753155,0.00144927776214,0.00144927922078,0.00144927906569,0.00144927789037,0.00144927902776,0.707381032701
0.37925581955,0.00121212323494,0.00121212333988,0.00121212296795,0.0384065733524,0.00121212352908,0.00121212417654,0.00121212371636,0.567983976321,0.00121212327831,0.00121212492262,0.00121212342154,0.00121212324882,0.00121212419007,0.00121212357316
0.000320513400004,0.000320513220363,0.000320513406283,0.000320513338804,0.000320513164162,0.00032051314773,0.00598665843552,0.000320513518242,0.000320513351479,0.917400355832,0.000320513415792,0.000320513372095,0.000320513211551,0.000320513158418,0.0727581193738
0.243076612672,0.0389822305943,0.628805121515,0.00208333714661,0.00208333549739,0.0020833364311,0.00208333705662,0.0670549150968,0.00208333747497,0.00208333559165,0.00208333612267,0.00208333647245,0.00208333546554,0.00208333846735,0.00208333612417
0.0501027652189,0.000356507840591,0.000356507221803,0.000356507059883,0.000356507212153,0.000356507008526,0.067381999769,0.16734628714,0.000356506922253,0.126584064653,0.419696751616,0.000356507226691,0.000356507203692,0.0928896707773,0.0743031621174
0.00078431621428,0.759994736208,0.000784315151364,0.0759742276833,0.000784315496481,0.000784315670055,0.000784316361671,0.000784315626303,0.000784315751825,0.000784316367555,0.000784316051479,0.000784315743479,0.000784315141906,0.127180673903,0.000784315168451
0.224516808872,0.000419288082189,0.000419288245028,0.000419288163267,0.000419288422604,0.000419288426814,0.300971499378,0.000419288354705,0.131596491743,0.000419288719688,0.12277712756,0.000419288330073,0.000419288154387,0.000419288012258,0.215619095083
